Feature,Importance
SSN_679-12-3204,0.000892982406683608
"TypeofLoan_Student Loan, Home Equity Loan, and Student Loan",0.0008863561248609567
Occupation_Writer,0.0008802470914994774
Name_Julien Toyerg,0.0008751766655418466
SSN_742-72-0073,0.0008739403909406907
CustomerID_CUS0x5eae,0.0008674384296126855
Name_Economics Correspondentf,0.0008666822162113699
CreditHistoryAge_14 Years and 1 Months,0.0008664339165421207
Name_Diane Bartzw,0.0008570766124242548
CreditHistoryAge_30 Years and 7 Months,0.0008526135866698914
CustomerID_CUS0xd50,0.0008450027747034631
CustomerID_CUS0xbd07,0.0008440401882138981
CreditHistoryAge_27 Years and 8 Months,0.0008383611110399306
CreditHistoryAge_11 Years and 4 Months,0.0008369863320845664
CustomerID_CUS0x6632,0.0008338379800043777
Name_Jonathan Stempelg,0.0008307665913029959
CreditHistoryAge_7 Years and 7 Months,0.0008261535632230105
CreditHistoryAge_20 Years and 11 Months,0.0008148479745456377
Name_McCranko,0.0008118935815335717
SSN_794-90-5630,0.0008118811150955388
CreditHistoryAge_11 Years and 11 Months,0.0008091463449633711
CreditHistoryAge_29 Years and 7 Months,0.000807150770114116
CreditHistoryAge_8 Years and 4 Months,0.0008050724699556576
Name_Antonella Cinelliv,0.0008004030789157535
CreditHistoryAge_30 Years and 1 Months,0.0008003366250082685
Name_Silvia Aloisir,0.0007968870051941687
"TypeofLoan_Auto Loan, Not Specified, Payday Loan, and Not Specified",0.0007957887300507224
CustomerID_CUS0x230a,0.0007938944915279235
Name_Carey Gillamg,0.0007930057556404527
CreditHistoryAge_15 Years and 1 Months,0.0007879783771454506
Name_Breidthardtv,0.0007857275555108747
SSN_853-63-1222,0.0007844987649424605
CreditHistoryAge_9 Years and 6 Months,0.0007809893068779768
SSN_733-85-7446,0.000770956639395069
Name_Elzio Barretoe,0.0007690677897487578
CreditHistoryAge_27 Years and 11 Months,0.0007685860518971989
CustomerID_CUS0x1769,0.0007631605564146881
CreditHistoryAge_7 Years and 10 Months,0.0007616194618044166
Occupation_Engineer,0.0007579426909677904
CreditHistoryAge_13 Years and 6 Months,0.0007542841556425589
"TypeofLoan_Mortgage Loan, Payday Loan, Student Loan, and Personal Loan",0.0007518792990111291
CustomerID_CUS0xa54d,0.0007513823623433035
SSN_918-41-4565,0.0007442283366647427
CustomerID_CUS0x2a9f,0.0007433696757879476
"TypeofLoan_Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",0.0007386905484749606
CustomerID_CUS0x47a,0.0007366865079085648
CreditHistoryAge_5 Years and 11 Months,0.0007358275482920774
CreditHistoryAge_30 Years and 2 Months,0.0007334189952605287
CreditHistoryAge_31 Years and 11 Months,0.0007305285781680833
CreditHistoryAge_22 Years and 4 Months,0.0007297348673085139
CreditHistoryAge_13 Years and 1 Months,0.0007260918400054955
CustomerID_CUS0xae0a,0.0007248081946107337
CustomerID_CUS0x8e5b,0.0007231643207951645
SSN_446-64-3664,0.0007214367857816623
"TypeofLoan_Personal Loan, Student Loan, Mortgage Loan, and Home Equity Loan",0.0007181395059874387
CustomerID_CUS0x9347,0.0007146320773261803
"TypeofLoan_Credit-Builder Loan, Mortgage Loan, and Auto Loan",0.0007086920320209743
CreditHistoryAge_26 Years and 3 Months,0.0007075738587323071
"TypeofLoan_Payday Loan, Home Equity Loan, and Credit-Builder Loan",0.0007067294551948171
CreditHistoryAge_12 Years and 9 Months,0.0007058342578396247
CreditHistoryAge_14 Years and 10 Months,0.0006996666772280312
CustomerID_CUS0x4dbd,0.0006938999901995964
CreditHistoryAge_23 Years and 6 Months,0.0006921833653782935
CustomerID_CUS0x8844,0.000691501547244359
SSN_504-61-6763,0.0006899781597382977
SSN_607-70-4191,0.0006899618031690659
CreditHistoryAge_28 Years and 2 Months,0.0006866026203203713
Name_ewich Noelz,0.0006809804385491205
"TypeofLoan_Credit-Builder Loan, Auto Loan, Home Equity Loan, Personal Loan, Credit-Builder Loan, and Payday Loan",0.0006780016591269875
CreditHistoryAge_9 Years and 9 Months,0.0006756474446725149
CreditHistoryAge_7 Years and 9 Months,0.0006750797086510378
"TypeofLoan_Mortgage Loan, and Payday Loan",0.0006746259323072264
CustomerID_CUS0x76ed,0.0006687832062982355
CreditHistoryAge_23 Years and 9 Months,0.0006678067795758033
"TypeofLoan_Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",0.0006674526426052085
CreditHistoryAge_28 Years and 9 Months,0.0006673410812072212
SSN_596-86-5684,0.0006664377407047242
Occupation_MediaManager,0.0006570752418987169
SSN_204-93-4852,0.0006565587452818285
CreditHistoryAge_31 Years and 3 Months,0.0006503488970996803
CreditHistoryAge_8 Years and 1 Months,0.0006421126211034942
CreditHistoryAge_14 Years and 8 Months,0.0006412576355667536
"TypeofLoan_Auto Loan, and Credit-Builder Loan",0.0006411412460622878
CreditHistoryAge_30 Years and 3 Months,0.0006410186090988114
SSN_655-70-2468,0.0006409167570139343
Name_Blenkinsopc,0.0006381055562128817
CustomerID_CUS0x6afc,0.0006322646182709313
CreditHistoryAge_7 Years and 8 Months,0.0006258571570000746
CreditHistoryAge_6 Years and 0 Months,0.000625825433591654
Name_Simon Johnsong,0.0006257291562684614
